rank,city,longitude,latitude,pop_2011,sqrt_2011,pop_2001,sqrt_2001
1,Mumbai,72.83333,18.96667,12442373,3527.4,11978450,3461.0
2,Delhi,77.123767,28.653458,11034555,3321.8,9879172,3143.1
3,Bangalore,77.59796,12.96991,8443675,2905.8,4301326,2074.0
4,Hyderabad,78.46667,17.36667,6993262,2644.5,3637483,1907.2
5,Ahmedabad,72.58,23.03,5577940,2361.8,3520085,1876.2
6,Chennai,80.27,13.09,4646732,2155.6,4343645,2084.1
7,Kolkata,88.33778,22.54111,4496694,2120.5,4572876,2138.4
8,Surat,72.83,21.17,4467797,2113.7,2433835,1560.1
9,Pune,73.84778,18.52361,3124458,1767.6,2538473,1593.3
10,Jaipur,75.86667,26.91667,3046163,1745.3,2322575,1524.0
11,Lucknow,80.91583,26.86056,2817105,1678.4,2185927,1478.5
12,Kanpur,80.33111,26.4725,2765348,1662.9,2551337,1597.3
13,Nagpur,79.08306,21.15389,2405665,1551.0,2052066,1432.5
14,Visakhapatnam,83.25,17.7,2035922,1426.9,982904,991.4
15,Indore,75.84722,22.72056,1960631,1400.2,1474968,1214.5
16,Thane,72.97,19.2,1818872,1348.7,1262551,1123.6
17,Bhopal,77.41667,23.25,1798218,1341.0,1437354,1198.9
18,Pimpri-Chinchwad,73.757225,18.695734,1729359,1315.1,1012472,1006.2
19,Patna,85.14139,25.61,1683200,1297.4,1366444,1168.9
20,Vadodara,73.2,22.3,1666703,1291.0,1306227,1142.9
21,Ghaziabad,77.41667,28.66667,1636068,1279.1,968256,984.0
22,Ludhiana,75.84861,30.90833,1613878,1270.4,1398467,1182.6
23,Coimbatore,76.96667,11,1601438,1265.5,930882,964.8
24,Agra,78.02,27.18,1585704,1259.2,1275134,1129.2
25,Madurai,78.11939,9.91966,1561129,1249.5,928869,963.8
