Region,Acute Respiratory Infections,Diarrhoeal Diseases,Hepatitis,Intestinal Worms,Leprosy,"Malaria- Severe, Complicated",Malaria- Uncomplicated,Schistosomiasis,Tuberculosis,GDS,GUD,Other Sex Tras. Dis (toa GDS & GUD),Severe Protein Ernegy Malnut.,Nutritional Disorders (toa PEM),Sickle Disease,Anaemia,Neuroses,Psychoses,Epilepsy,Ear Infections,Eye Infections,Cataract,Other Eye Diseases Non-Inf.,Vitamin A Defc/Xerophthalmia,Cardiac Failure,Hypertension,Other Cardiovascular Diseases,Bronchial Asthma,Rheumatic Fever,Pneumonia,Respiratory Disease (Nyinginezo),Peptic Ulcers,Non-Infectious Gastrointestinal Diseases (Others),Urinary tract Infections (UTI),Non-Infectious Kidny diseases,Skin Infections,Skin Diseases Non-Infectious,Rheumatoid or Joint Diseases,Peri-neonatal Conditions,Snake and Insect Bites,Burns,Poisoning,HIV/AIDS,Neoplasms,Thyroid Diseases,Diabetes Mellitus,Hematological Diseases,Osteomyelitis,Congenital Diseases,Fractures/Dislocation,"Ill Defined Symptoms, no Diagnosis",Others (Taja),Total
Arusha,1,8,2,0,0,77,0,0,97,0,0,0,4,0,0,96,5,0,2,0,0,0,0,0,123,61,85,22,0,139,9,23,18,0,1,1,0,0,0,0,14,29,345,60,0,64,0,0,4,21,7,288,1606
Dodoma,3,21,0,0,0,138,0,0,41,1,1,0,2,0,0,50,2,0,1,0,0,0,0,0,14,32,8,15,0,51,0,3,1,3,5,0,0,0,0,0,7,8,164,4,0,5,0,4,0,16,0,1,601
Dar es Salaam,0,30,5,0,0,300,,0,271,0,0,0,0,0,0,297,1,3,8,0,0,0,0,0,178,259,56,7,0,205,39,72,0,0,0,0,0,0,0,0,1,0,437,83,0,112,0,0,0,241,3,265,2873
Geita,4,5,0,0,0,173,32,0,22,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,7,10,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,6,90,0,0,3,0,0,0,0,7,21,457
Iringa,7,45,0,1,0,81,6,0,13,0,0,0,2,1,0,34,0,0,0,0,0,0,0,0,95,88,2,3,0,51,6,0,6,0,0,0,0,0,0,1,3,3,38,0,0,19,0,1,0,18,6,32,562
Kagera,13,24,1,149,8,168,16,21,48,0,47,0,1,0,3,53,4,4,6,2,32,7,2,0,42,56,11,19,0,54,8,4,7,3,3,1,0,0,0,4,6,14,124,3,2,21,2,0,0,6,4,22,1025
Kigoma,26,9,5,4,0,184,33,1,29,0,0,0,1,1,7,92,0,0,3,0,0,0,0,0,47,12,23,10,0,44,5,4,25,4,0,0,0,0,0,3,13,18,61,1,1,36,0,0,0,0,12,115,829
Katavi,6,23,6,0,0,54,0,0,3,0,0,1,1,0,4,33,0,0,0,0,0,0,0,0,5,10,2,7,0,21,4,2,2,0,1,0,0,0,0,4,1,3,49,0,1,2,1,5,0,41,5,4,301
Kilimanjaro,5,15,0,0,0,79,13,0,39,0,0,1,1,0,0,42,14,0,1,0,0,0,0,0,85,99,60,33,7,100,6,9,11,1,0,0,0,2,3,1,1,6,63,2,1,38,7,0,0,13,2,43,803
Lindi,2,10,0,0,0,133,36,0,16,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,5,38,3,2,0,22,0,0,0,0,0,0,0,0,1,3,1,4,32,0,1,6,0,0,0,11,6,7,359
Manyara,7,16,6,7,0,109,3,0,92,0,0,0,3,0,3,28,0,3,2,1,0,0,0,0,63,13,11,13,3,104,39,7,2,3,5,1,0,3,0,1,3,1,60,16,0,10,0,2,0,6,14,162,822
Mara,61,36,0,0,0,389,259,0,36,0,0,2,0,2,3,86,20,0,0,0,0,0,0,0,11,5,7,2,10,17,2,101,7,2,0,25,1,0,0,3,13,22,306,7,24,16,0,0,0,137,21,143,1290
Mbeya,7,74,0,0,0,220,23,0,100,0,2,0,1,1,2,151,1,2,2,0,0,0,0,0,61,19,5,11,0,159,12,10,12,3,2,0,0,2,0,2,5,29,212,6,0,31,4,0,0,25,37,180,1413
Morogoro,9,24,0,0,0,283,0,0,74,0,0,0,0,0,4,66,0,0,3,0,0,0,0,0,12,20,2,6,1,49,1,0,0,2,0,0,0,0,0,4,4,4,187,0,0,19,0,0,0,4,4,102,884
Mtwara,0,26,0,0,0,270,0,0,33,0,0,0,0,0,5,82,0,1,2,0,6,0,1,0,40,79,27,8,3,33,13,0,1,8,0,0,0,0,0,2,2,4,61,1,0,20,0,1,0,37,0,139,905
Mwanza,1,19,1,0,0,101,4,0,23,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,1,14,0,1,0,17,0,0,1,0,0,0,0,0,0,0,0,5,118,0,2,7,0,0,0,0,0,134,486
